#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	magChain	suscChain	deco	measure	err_magx	err_magy	err_magz	err_deco	err_magChain	err_suscChain	
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.200000000000196465e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.531050740889906114e-01 -1.216095577190548765e-03 5.023642379555592896e-01 6.564278629942803533e-01 7.010793722227870894e+00 7.748166129047427166e-03 1.100000000000000000e+04 4.469476951282362240e-04 1.557977831865699583e-04 4.134227077571159216e-04 9.413656182900053998e-05 1.776155735628097681e-03 1.283936970295584262e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.250000000000000000e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.531548783148563686e-01 -1.382984470744150771e-03 5.022919115810625668e-01 6.538115161316079282e-01 6.978989972684352061e+00 7.563946854690815728e-03 1.100000000000000000e+04 4.647793852274423559e-04 1.649508829641639944e-04 4.290258231497787872e-04 9.579447078443382806e-05 1.843275815658098477e-03 1.334934872435893961e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.299999999999762679e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.531487250753782003e-01 -1.573477684952352858e-03 5.022813986172012246e-01 6.505391770468551549e-01 6.940876375310892854e+00 7.554612186258062405e-03 1.100000000000000000e+04 4.653768926689582134e-04 1.739611352244603559e-04 4.289692441580830935e-04 9.572586062068052419e-05 1.847524860676183229e-03 1.335019195673161491e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.350000000000245670e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.531105524807781615e-01 -1.804982587507676086e-03 5.022888275091329513e-01 6.469545224480177659e-01 6.901457140210682795e+00 7.401479049579808012e-03 1.100000000000000000e+04 4.827571169525912199e-04 1.838588554963232645e-04 4.438594345464817585e-04 9.729226630085277788e-05 1.915251582178119274e-03 1.384842762393560973e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.399999999999750111e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.531025641028016082e-01 -2.032585343646738617e-03 5.022759238508242019e-01 6.434184785019514408e-01 6.862043229199167982e+00 7.391880601916112417e-03 1.100000000000000000e+04 4.834209083945636477e-04 1.932189032525833978e-04 4.437612252701740242e-04 9.721393514679742016e-05 1.920081978433354434e-03 1.384015754441750984e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.450000000000288169e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.530009264003250991e-01 -2.278295136802562394e-03 5.023785272431071647e-01 6.391828293994263888e-01 6.815171992618889618e+00 7.268248779385358058e-03 1.100000000000000000e+04 4.970681662027304302e-04 2.040499469304691334e-04 4.560899930437249585e-04 9.884350423943185433e-05 1.981084770748946580e-03 1.441439409448738371e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.500000000000000000e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.529908805347236056e-01 -2.547074535762075195e-03 5.023630850240358159e-01 6.354173245540610804e-01 6.775103325035732205e+00 7.258577886726414082e-03 1.100000000000000000e+04 4.977992404778321415e-04 2.136229252448541577e-04 4.559624476174744677e-04 9.875555856010788728e-05 1.986334866449190363e-03 1.439433036155027788e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.549999999999683853e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.528946316013139572e-01 -2.866517724987333905e-03 5.024122608261863965e-01 6.314117174591340476e-01 6.735700369282697331e+00 7.127085086218358859e-03 1.100000000000000000e+04 5.143455914947356062e-04 2.239337568731148537e-04 4.699266021072768108e-04 9.992179829572366814e-05 2.048764872995874602e-03 1.485410740809238635e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.600000000000138201e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.528820477030820690e-01 -3.177312382683707918e-03 5.023938782118040347e-01 6.274215003565907223e-01 6.695129096744387276e+00 7.117763084526775377e-03 1.100000000000000000e+04 5.151368509035243130e-04 2.337673315771074455e-04 4.697560775899293746e-04 9.982555454640047233e-05 2.054328716861838350e-03 1.482249954963938028e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.649999999999909761e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.526396577140090693e-01 -3.507437551333225136e-03 5.025925932632618887e-01 6.221423921589165351e-01 6.646291741612878390e+00 7.026160570985201873e-03 1.100000000000000000e+04 5.318770794197119536e-04 2.444628909024835453e-04 4.836456196476294806e-04 1.011006898544866093e-04 2.121465977592283930e-03 1.528841915487877748e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.700000000000352562e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.526242992752885996e-01 -3.868365704619234832e-03 5.025704632409169204e-01 6.179432218948489597e-01 6.605746191777015497e+00 7.017381942103396650e-03 1.100000000000000000e+04 5.327344311387618297e-04 2.546141984521205258e-04 4.834168111129423496e-04 1.009948924307133694e-04 2.127427771534590433e-03 1.524271164618942222e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.750000000000000000e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.526443989429952630e-01 -4.249226261616210511e-03 5.025223751649027237e-01 6.138133021618483731e-01 6.566443905316891261e+00 6.878074130817791142e-03 1.100000000000000000e+04 5.434636548557078518e-04 2.662152415107406985e-04 4.923726960409331504e-04 1.015852673402872747e-04 2.180098356378014444e-03 1.563068280498787488e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.799999999999626565e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.526258575521923344e-01 -4.654564045728872002e-03 5.024959860460921357e-01 6.094299475266022892e-01 6.526284847819614043e+00 6.870112226015608406e-03 1.100000000000000000e+04 5.443986396381329069e-04 2.766599615135234319e-04 4.920864611334878173e-04 1.014696998082369807e-04 2.186474649679197909e-03 1.557112634916364181e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.849999999999923261e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.527269425635842781e-01 -5.076230157259335914e-03 5.023472944135548568e-01 6.057073160454043981e-01 6.490718815331480762e+00 6.684368285953631861e-03 1.100000000000000000e+04 5.578005285638307307e-04 2.874444421786219320e-04 5.026001304643831855e-04 1.009056396325202864e-04 2.236875429867890130e-03 1.596254459971448506e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.900000000000113154e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.527048655865546722e-01 -5.524801282286224968e-03 5.023163866098715458e-01 6.011492593347373958e-01 6.450988393672771437e+00 6.677776813948794500e-03 1.100000000000000000e+04 5.588001700057280583e-04 2.981187546201665870e-04 5.022476422678657810e-04 1.007833107576911868e-04 2.243443142717686974e-03 1.588970939271690946e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.950000000000400524e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.527985093816112805e-01 -6.052339185411917920e-03 5.021797377722010403e-01 5.965169792554891881e-01 6.408123076301138532e+00 6.525775642254512746e-03 1.100000000000000000e+04 5.685275975496202313e-04 3.093993224007108070e-04 5.093884419665547668e-04 1.003345586755164987e-04 2.291345763603198655e-03 1.628350377316064440e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.000000000000000000e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.527722634249946809e-01 -6.549963275509027710e-03 5.021435238874746299e-01 5.917860723829289071e-01 6.369068338744571456e+00 6.520886614670549745e-03 1.100000000000000000e+04 5.696027764289271185e-04 3.203630665980384943e-04 5.089633881489333224e-04 1.002057473395414684e-04 2.298322430532983175e-03 1.619790414180628454e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.049999999999583711e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.527580567795667310e-01 -7.121158862890307646e-03 5.020897018872095829e-01 5.865766401545442488e-01 6.325591412313009698e+00 6.398101669465959020e-03 1.100000000000000000e+04 5.800410533082165634e-04 3.326442023261172269e-04 5.174527465011355973e-04 1.005538933081155602e-04 2.355799233914214821e-03 1.658568479027216006e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.099999999999758948e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.527272462676249720e-01 -7.672283836890387947e-03 5.020473428284210060e-01 5.816812298971376638e-01 6.287234718459811411e+00 6.395258912333598444e-03 1.100000000000000000e+04 5.811928919112289158e-04 3.438816735781907111e-04 5.169502289884844943e-04 1.004213335432202578e-04 2.362887243459312319e-03 1.648713660464116645e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.150000000000269029e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.525759872560528807e-01 -8.232346587156581796e-03 5.021275588186172589e-01 5.763651492565695644e-01 6.248688696425219291e+00 6.294602819722636827e-03 1.100000000000000000e+04 5.936007392598078919e-04 3.566227110982377632e-04 5.266465784659014535e-04 1.002427842986895447e-04 2.422691254941336525e-03 1.680142538584872974e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.200000000000438050e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.525404323846950128e-01 -8.838504325631723474e-03 5.020779208554940753e-01 5.713452792740328912e-01 6.211392152429916713e+00 6.294015362640920791e-03 1.100000000000000000e+04 5.948312915943390448e-04 3.681746627331661183e-04 5.260524894020664503e-04 1.001034539448255364e-04 2.429660779603549838e-03 1.668834702432005213e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.250000000000000000e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.523124766173097999e-01 -9.443957966129609694e-03 5.021868382924488117e-01 5.660171172642531889e-01 6.178152040962563873e+00 6.216384861998637545e-03 1.100000000000000000e+04 6.091825514331868693e-04 3.803160500295079435e-04 5.374593194524134206e-04 1.008094952967346597e-04 2.493254044032259479e-03 1.700284959054625816e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.299999999999549516e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.522717565638309178e-01 -1.010628230985273490e-02 5.021290371150740617e-01 5.608872200327937874e-01 6.141933408541828676e+00 6.218474901337756044e-03 1.100000000000000000e+04 6.104879223600110120e-04 3.921915604331341039e-04 5.367752182654851904e-04 1.006659252942885494e-04 2.499848910460521038e-03 1.687752584331407221e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.349999999999629718e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.521867220547931776e-01 -1.076941530172360710e-02 5.021003664820190560e-01 5.555099704944723715e-01 6.105847018695586215e+00 6.125660935648765716e-03 1.100000000000000000e+04 6.208203538094811793e-04 4.056847042151156516e-04 5.441071673483064905e-04 1.007341848773231282e-04 2.557292461790471386e-03 1.720311586223569056e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.400000000000392930e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.521403618010842118e-01 -1.148821627952281536e-02 5.020338570157220071e-01 5.502760942835532854e-01 6.070705697533491652e+00 6.130785934957790582e-03 1.100000000000000000e+04 6.222052515062721041e-04 4.178115991491912267e-04 5.433357537735965335e-04 1.005878038817485394e-04 2.563428060542133780e-03 1.706473322683501812e-02
