#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	deco	measure	err_magx	err_magy	err_magz	err_deco	
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.250000000000000000e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.950559060712166004e-01 -1.156185548914251925e-02 7.548373966844017513e-01 2.483030707585015540e-02 9.080000000000000000e+02 1.476674946087568920e-02 4.116158294976898779e-03 3.477054435228988521e-03 1.012145885872709492e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.299999999999971845e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.955248664320789032e-01 -1.205024932044460387e-02 7.542992261097722917e-01 2.454166304419483011e-02 9.080000000000000000e+02 1.477554169078601140e-02 4.189221064415830226e-03 3.511777193913117549e-03 9.967267479833255301e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.349999999999960565e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.951297009797259951e-01 -1.235257910455350369e-02 7.538824640072105954e-01 2.414901844514835347e-02 9.080000000000000000e+02 1.482143276473087828e-02 4.246250844685155179e-03 3.519422851013319191e-03 9.850589709930446768e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.400000000000040323e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.961844925909540072e-01 -1.384755245302799961e-02 7.530852739379790828e-01 2.378497501824485688e-02 9.080000000000000000e+02 1.483999593447561660e-02 4.320632377723870009e-03 3.515828603123173721e-03 9.675100831061007618e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.450000000000014833e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.970593349282830475e-01 -1.514102917165006772e-02 7.527852545875907131e-01 2.340496653974360672e-02 9.080000000000000000e+02 1.483388324983792028e-02 4.399197559450921877e-03 3.519429069848104864e-03 9.544521748816926256e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.500000000000000000e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.978016301390808751e-01 -1.675602571441890676e-02 7.520621975958776684e-01 2.313542895876054273e-02 9.080000000000000000e+02 1.484253397198868202e-02 4.497803673615690008e-03 3.512528618329254122e-03 9.403526901098265825e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.549999999999992717e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.991735932692128119e-01 -1.803754624250021241e-02 7.511223161083856459e-01 2.291494615407711419e-02 9.080000000000000000e+02 1.484401423282267866e-02 4.582074436854819896e-03 3.509564200757551815e-03 9.292935144360039762e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.599999999999955680e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.973923865036547709e-01 -1.865436813388633708e-02 7.507701519730713979e-01 2.297348228092723280e-02 9.080000000000000000e+02 1.488087295244867880e-02 4.669854294698113327e-03 3.521440180489741889e-03 9.382343193410052750e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.650000000000045208e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.970647577490366564e-01 -1.905469057235988431e-02 7.499203228929418596e-01 2.272269765910443079e-02 9.080000000000000000e+02 1.492805526282602220e-02 4.749465886129355247e-03 3.531455054066872691e-03 9.192702315029828257e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.699999999999997069e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.971929372083374266e-01 -2.023569309078629419e-02 7.491201704375129999e-01 2.264851278243240271e-02 9.080000000000000000e+02 1.494879002549004410e-02 4.815688616082316499e-03 3.541105067204078794e-03 9.491419741126265247e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.750000000000000000e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.977775019992484951e-01 -2.142612879891165473e-02 7.482653197858388783e-01 2.255077260862631272e-02 9.080000000000000000e+02 1.496308208048451570e-02 4.880262224790261720e-03 3.541811301816581020e-03 9.454373818655495247e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.800000000000009592e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.975345649684336458e-01 -2.224991138824576609e-02 7.476973359892616910e-01 2.236490965517991605e-02 9.080000000000000000e+02 1.499380975072666863e-02 4.939033415971585093e-03 3.544736597531625896e-03 9.357035156689838280e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.849999999999951683e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.976900054638350945e-01 -2.430837208209336853e-02 7.468122126822057671e-01 2.245737420460900899e-02 9.080000000000000000e+02 1.500383295385483186e-02 5.016685551959985424e-03 3.535945371780201216e-03 9.410968469747701482e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.900000000000049205e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.970129196532995453e-01 -2.510188707707640757e-02 7.458900792449488781e-01 2.258748222149019672e-02 9.080000000000000000e+02 1.502906693528190639e-02 5.114495501061807649e-03 3.540184779043697213e-03 9.391682732307111590e-04
